name,priority,sector,category,website
Buystocklot,P2 · High,Logistics & Trade,Trading & Distribution,http://www.buystocklot.com
Car Parking & tent shade supplier,P2 · High,Construction & Engineering,Construction & Contracting,http://www.almajlistent.ae
Dhanya Group of Companies,P2 · High,Logistics & Trade,Trading & Distribution,http://www.dhanyagroup.com
Dubai Medical Equipment,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.dme-medical.com
ECT Aviation Group,P2 · High,Logistics & Trade,Logistics & Transport,http://www.ectaviation.com
EXAA Building Materials Trading LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.exaatrading.com
Eleazar International,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.eleazarintl.com
Elite Corner Building Material,P2 · High,Construction & Engineering,Construction & Contracting,http://www.decor-elite.com
Elite Oil & Gas Services LLC,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.eliteoilgas.com
Elite Pre-Fabricated Houses LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.eliteprefab.com
Emirates National Group,P2 · High,Logistics & Trade,Logistics & Transport,http://www.emiratescab.com
Espectro General Trading,P2 · High,Logistics & Trade,Trading & Distribution,http://www.espectro-me.com
Euro Gulf Machines and Tools/ Euro Gulf Machine Tools and Automation,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.eurogulfuae.com
FAST TRACK METALLIC IND LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.fasttrackmi.com
FLYDART AERO,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.flydartaero.com
Fair Deal Marbles & Granite Ind. LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.fairdealuae.com
Faras,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.farasenergy.com
Fast Building Contractors,P2 · High,Construction & Engineering,Construction & Contracting,http://www.fastbuilding.ae
First Fortune Group,P2 · High,Construction & Engineering,Construction & Contracting,http://www.firstfortune.ae
Fromid Steel Sheds Fix. Cont. LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.fromidsteel.com
Fuel Trading & Distribution Co. LLC,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.fueltrading.org
GDS Prestige,P2 · High,Logistics & Trade,Trading & Distribution,http://www.gdsprestige.com
GHAIMA GROUP,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.ghaimagroup.com
Galaxy World Wide Shipping LLC,P2 · High,Logistics & Trade,Logistics & Transport,http://www.gwwshipping.com
Ghosh Group,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.ghoshgroups.com
Global Food Industries,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.global-food.com
Green Ranches LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.greenranches.ae
Gulf Dynamic Switchgear Company Limited,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.gulfdynamic.com
HARDCO GROUP,P2 · High,Construction & Engineering,Construction & Contracting,http://www.hardcogroup.com
HBS Greenauz Building Materials Trading,P2 · High,Construction & Engineering,Construction & Contracting,http://www.hbsgreenauz.com
HK Express Delivery Services,P2 · High,Logistics & Trade,Logistics & Transport,http://www.hkexpressuae.ae
HSI Lighting,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.hsilighting.com
Hateen Tech Contracting,P2 · High,Construction & Engineering,Construction & Contracting,http://www.hateengroup.net
Helpdesk Computer Trading LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.helpdeskuae.com
Hexomatrixx Corp,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.hexomatrixx.com
Huzefa Aluminium and Glass Co.,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.huzefaglass.com
ISMAT Rubber Products Ind. Ltd.,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.ismatrubber.com
Informap Technology Center,P2 · High,Construction & Engineering,Construction & Contracting,http://www.informapuae.com
J&J Group of Companies,P2 · High,Construction & Engineering,Construction & Contracting,http://www.jnjgroupuae.com
Jabal Al Toor Marbles,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.jabalaltoor.com
Jabal Al Wadi Trdg. LLC,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.jabalalwadi.com
Kazani Trading Co LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.kazanipaper.com
Lamar Group Ind LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.lamargroups.com
Larosa Hardware & Equipment Company LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.larosagroup.com
Lifco Al Rawabi Trading,P2 · High,Logistics & Trade,Trading & Distribution,http://www.lifcorawabi.com
Lifeline Tr Co LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.lifelineuae.com
MAS Aluminium & Glass LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.ansaluminium.ae
Mabrook Hardware Trading L.L.C,P2 · High,Logistics & Trade,Trading & Distribution,http://www.mabrook-uae.com
Main Star Technical Services LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.mainstaruae.com
Malizia Sign,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.maliziasign.com
Manazil Group,P2 · High,Construction & Engineering,Construction & Contracting,http://www.manazil-uae.com
Mann Energy LLC,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.mann-energy.com
Marmar AlKhaleej Marble,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.marmarmarble.ae
Marwa Marble Est,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.marwamarble.com
Mimar Models Model Builders,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.mimarmodels.com
Mina Marble and Granite,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.minamarbles.com
Nejoum Dubai Tr. Est.,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.nejoumdubai.com
Nifty Alloys LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.niftyalloys.com
Noor Al Faris Technical Contracting,P2 · High,Construction & Engineering,Construction & Contracting,http://www.nooralfaris.com
North Star Oil Trading LLc,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.northstaroil.ae
ORIGA LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.origadesign.com
Oman Plastic LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.omanplastic.com
Paramount Food Service Equipment Solutions,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.paramountme.com
Petra Concrete Repairing,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.petracoring.com
Petrofast Group,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.petrofastme.com
Petromax Grease & Lubricants Industries,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.petromaxgli.com
Phoenix Engineering & Marine Co LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.phoenixgroup.ae
PodTech,P2 · High,Construction & Engineering,Construction & Contracting,http://www.podtech.company
Pressure Tech Industrial Machinery Manufacturing LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.pressuretech.ae
Prestige Packaging & General Trading LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.prestigegcc.com
Profiles RH,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.profilesrhf.com
RADY INTERIOR,P2 · High,Construction & Engineering,Construction & Contracting,http://www.radyinterior.ae
Radin Italia Projects,P2 · High,Construction & Engineering,Construction & Contracting,http://www.radinitalia.com
Red Arrow Transportation LLC Dubai,P2 · High,Logistics & Trade,Logistics & Transport,http://www.redarrowuae.com
Rikin Al Fadha,P2 · High,Logistics & Trade,Trading & Distribution,http://www.rikinalfadha.ae
Rostock Spare Parts LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.rostockauto.com
Royal Industrial Fabricators UAE,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.royalindfab.com
SAN Furniture,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.sanfurniture.ae
SANTIA INT. WOODS TR. EST. LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.santiawoods.com
STEEL AND OIL AUTO MAIN. L.L.C,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.steelandoil.com
SUPERIOR GROUP OF COMPANIES,P2 · High,Construction & Engineering,Construction & Contracting,http://www.superior-me.com
Safari Metal Trading LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.safarimetal.com
Sheridan Specialized Building Products,P2 · High,Construction & Engineering,Construction & Contracting,http://www.sheridanuae.com
Sital Marble,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.sitalmarble.com
Sporty Foods,P2 · High,Logistics & Trade,Logistics & Transport,http://www.sportysupps.com
Spring Ship Management,P2 · High,Logistics & Trade,Logistics & Transport,http://www.spring-ship.com
Star Food industries,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.starfoodind.com
Steelcraft,P2 · High,Construction & Engineering,Construction & Contracting,http://www.steelcrafte.com
Sunlight General Trading LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.sunlightuae.com
Tajwal Mobile,P2 · High,Logistics & Trade,Trading & Distribution,http://www.tajwalmobile.ae
Telephony Group of Companies,P2 · High,Construction & Engineering,Construction & Contracting,http://www.telephonyme.com
The Flame Petrochemical Trading,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.theflamepet.com
The Wrapperz Corporate Gifts & Promotional Giveaways,P2 · High,Logistics & Trade,Trading & Distribution,http://www.thewrapperz.com
Think Filter by Al Shafaq Group,P2 · High,Logistics & Trade,Trading & Distribution,http://www.thinkfilter.com
Torque Bolts,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.torquebolts.com
Toyworld Distributor LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.toyworlduae.com
Trans East Co.,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.transeastco.com
UAE Trading Establishment,P2 · High,Logistics & Trade,Trading & Distribution,http://www.intgroupuae.com
Ultimate Pack TR LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.ultimatepack.ae
Unimec Group,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.unimecgroup.com
United Gulf Machinery,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.united-gulf.com
VS Furniture Middle East,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.vs-furniture.ae
Valencia Trading LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.valenciallc.net
Verger Delporte,P2 · High,Construction & Engineering,Construction & Contracting,https://verger-delporte.ae
Vogue Steel Contracting L.L.C,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.vogue-steel.com
WoodMart,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.woodmartuae.com
YES Machinery,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.yesmachinery.ae
Younus Power Services,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.younuspower.com
Zayed Marine Services,P2 · High,Logistics & Trade,Logistics & Transport,http://www.zayedmarine.com
gpscargo,P2 · High,Logistics & Trade,Logistics & Transport,http://www.gpscargo.global
keystone building contracting LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.keystone-bc.com
AL DARWISH TRADING - SOLE PROPRIETORSHIP L.L.C.,P2 · High,Logistics & Trade,Trading & Distribution,http://www.darwish-tdg.ae
AL FAN AL GHARBI BLDG CONT L.L.C,P2 · High,Construction & Engineering,Construction & Contracting,http://www.alfanepoxy.com
AL GHAYA FIRE FIGHTING LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.alghayauae.com
AL SADEEQ AL WAFI ELECT DEVICES TR L.L.C,P2 · High,Logistics & Trade,Trading & Distribution,http://www.serverstore.ae
AL TAAM FOODSSTUFF TR,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.altaamfood.com
AL TAMAM ALUMINIUM AND GLASS CONTRACTING LLC.,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.altamamuae.com
Al Aydi Tents,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alayditents.ae
Al Dimashqi Marble and Granite Factory L.L.C,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.aldimashqi.com
Al Dolphin TR LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.dolphinmea.com
Al Farid Kitchen Equipment Manufacturing LLC (AFM),P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alfariduae.com
Al Helol Al Mutatawera Medical Supplies IND.,P2 · High,Logistics & Trade,Trading & Distribution,http://www.alhelolmed.com
Al Hosani Computer,P2 · High,Logistics & Trade,Trading & Distribution,http://www.alhosanime.com
Al Ietbar Marbles & Granite Factory LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.opalquartz.com
Al Injaz MEP Man Power Supply & MEP Sub Contract Works,P2 · High,Construction & Engineering,Construction & Contracting,http://www.alinjazuae.com
Al Maidan Contracting,P2 · High,Construction & Engineering,Construction & Contracting,http://www.almaidanae.com
Al Mateen Scaffolding Industries LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.amscaffold.com
Al Muadalah Chemical Trading,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.almuadalah.com
Al Mujtahid Ships & Marine Machinery Maintenance and Electromechanical Contracting,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.almujtahid.com
Al Mustadamah Industries LLC UAE ( In KSA we are known as Saleh Yousef Al Dossary & Sons Co. Ltd),P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.mustadamah.com
Al Nouf Auto Tyres & Accessories L.L.C,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alnouftire.com
Al Osool Building Metallic Construction Industries LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alosooluae.com
Al Qeyas Ready Mix & Precast LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alqeyasmix.com
Al Remal Aluminum and Glass Ind. LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alremaluae.com
Al Taj Al Aaly Electronics,P2 · High,Logistics & Trade,Trading & Distribution,http://www.altajalaaly.ae
Al Tasis,P2 · High,Construction & Engineering,Construction & Contracting,http://www.altasismep.com
Al Wisam Trading Co. L.L.C.,P2 · High,Logistics & Trade,Trading & Distribution,http://www.alwisamllc.com
Alfa Marine Electronics,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alfamarine.com
Alruman Printingpress,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alrumanuae.com
Ambulance Manufacturer Dubai-UAE,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.aladilauto.com
Arise International LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.arisegroup.net
Atelier BLG,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.atelierblg.com
BAB AL QAMAR ELECT & SANITARY LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.babalqamar.com
BEEAH Group,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.beeahgroup.com
BESTWAY OILFIELDS FZCO,P2 · High,Logistics & Trade,Trading & Distribution,http://www.bestwayoge.com
Bait Al Maha Prefab House Industries LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.baitalmaha.com
Barad Atlanta Trading LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.albaraduae.com
Bonn Building Materials Trading LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.bonn-group.com
CELAR WATER EQUIPMENT CO.LLC,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.celarwater.com
Captain Group,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.captaineng.com
Cerebro T C S Group,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.cerebrotcs.com
Clean Water Treatment,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.clean-water.ae
Controls Middle East LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.controlsme.com
Crystal Palace Lighting LTD,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.cplighting.net
Curiza Life,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.curizalife.com
Denver Group (UAE),P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.denvergroup.ae
EMANCO CONSTRUCTION'S CONTRACTING,P2 · High,Construction & Engineering,Construction & Contracting,http://www.emanco-uae.com
EMMA FITNESS SPORTS FIELDS &HALLS EQUIPMENT TRADING L.L.C,P2 · High,Logistics & Trade,Trading & Distribution,http://www.emmafitness.ae
Elaf Al Arab,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.elafalarab.com
Emirates Waste to Energy,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.emirateswte.ae
Eternal Home,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.eternalhome.ae
Etihad Group,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.etihadgroup.co
FAST MARINE & ELECTROMECHANICAL SERVICES L.L.C,P2 · High,Construction & Engineering,Construction & Contracting,http://www.fmemsgroup.com
Fabrica Trading & Contracting,P2 · High,Construction & Engineering,Construction & Contracting,http://www.fabrica.com.qa
Farda Trade dried fruits and nuts company,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.fardatrade.com
Fine Plastic Waste Rotation,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.fineplastic.me
First Chance General Trading,P2 · High,Logistics & Trade,Trading & Distribution,http://www.firstcabins.ae
Five Fine FragranceTM,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.3fperfumes.com
Flex-Europa,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.flex-europa.me
Fouress (Middle East) Safety Products,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.safetyshoes.ae
GRC Art Line Factory,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.grcartline.com
Gadz Shoes,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.gadzsports.com
Generaltec,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.generaltec.com
Glitter Advertising Factory LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.glitteradv.com
Green Apple Printing Press LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.greenappme.com
Green Pharma,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.greenpharma.ae
Greens International,P2 · High,Logistics & Trade,Trading & Distribution,http://www.greensintl.com
Gulf Wings,P2 · High,Logistics & Trade,Logistics & Transport,http://www.gulfwings.aero
HNR Co.,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.hnrmarbles.com
HYDROFIT ENGINEERING,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.hydrofitme.com
Hajar Al Jazeera General Trading LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.aljazeeras.com
Hawl Al Alam Group Of Companies,P2 · High,Logistics & Trade,Trading & Distribution,http://www.hawlalalam.com
Hi-Spectra Contracting Company,P2 · High,Construction & Engineering,Construction & Contracting,http://www.hi-spectra.com
IPI Packers,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.ipipackers.com
Index Engineering And Turning LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.index-engg.com
International Beverage & Filling Industries LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.stardrinks.com
JACQUIN WOOD BUILDING MATERIALS,P2 · High,Construction & Engineering,Construction & Contracting,http://www.jacquinwood.ae
John Paul AC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.johnpaulac.com
Kafe' Kaamil Instant Premixes by Inkam International LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.kafekaamil.com
Kojak Group,P2 · High,Logistics & Trade,Trading & Distribution,http://www.kojakgroup.com
Labelgraff,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.labelgraff.com
Lambda Electronics,P2 · High,Logistics & Trade,Trading & Distribution,http://www.lambda-uae.com
Lloyds Engineering Co LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.lloydsengg.com
Lucky Star Group of Companies,P2 · High,Construction & Engineering,Construction & Contracting,http://www.lsgroupuae.com
MD Decor Cont.,P2 · High,Construction & Engineering,Construction & Contracting,http://www.mddecoruae.com
MENA-Water,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.mena-water.com
MQF Trading,P2 · High,Logistics & Trade,Trading & Distribution,http://www.mqftrading.com
Mechatrone - Industrial Automation Solutions,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.mechatrone.com
Mesco Marine services,P2 · High,Logistics & Trade,Logistics & Transport,http://www.mescomarine.ae
MetaDrill,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.meta-drill.com
Metropolic Paper Industries,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.metropolic.com
Milan Metal Scrap & Used Batteries Tr LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.milanmetals.ae
Moonway PPE Safety Trading LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.moonwayllc.com
NADTEX LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.nadtex-uae.com
PATCHAM,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.patchamltd.com
PanGulf,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.pangulfuae.com
Pier Seven Aviation,P2 · High,Logistics & Trade,Logistics & Transport,http://www.p7aviation.com
Pride International Lubricants CO. LLC.,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.pridelubes.com
Prolux International,P2 · High,Construction & Engineering,Construction & Contracting,http://www.proluxintl.com
RG REFINERY,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.rgrefinery.com
RNB INTERIOR FITOUTS,P2 · High,Construction & Engineering,Construction & Contracting,http://www.rnbfitouts.com
Rapid Shipping & Logistics LLC,P2 · High,Logistics & Trade,Logistics & Transport,http://www.rapidgroup.com
"Regent Group, UAE",P2 · High,Construction & Engineering,Construction & Contracting,http://www.regentgroup.ae
Robusthane®,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.robusthane.com
Rolli International LLC,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.rolli-intl.com
SALESUNCLE,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.salesuncle.com
SAN Tools,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.santoolsme.com
SEA PORT INT. SHIPPING CO. LLC.,P2 · High,Logistics & Trade,Logistics & Transport,http://www.seaportuae.com
SEVEN STARS OIL FIELDS EQUIPMENTS,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.ssoeonline.com
SV Charter,P2 · High,Logistics & Trade,Logistics & Transport,http://www.svcharter.aero
Saifuddin Mulla Trading CO LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.smtbusiness.ae
Sama Al Jareena Hardware TR. L.L.C.,P2 · High,Logistics & Trade,Trading & Distribution,http://www.sajgroupme.com
Sana Lights Electrical Ware Trading LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.sanalights.com
Sana Movers,P2 · High,Logistics & Trade,Logistics & Transport,http://www.sanamovers.com
Siom Marble,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.siommarble.com
"Sky Line Travel, Tourism & Shipping LLC",P2 · High,Logistics & Trade,Logistics & Transport,http://www.skylineuae.com
Stainless Steel Fabrication,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.dpmetallic.com
TRISTAR - Your Reliable Bolting Partner!!,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.tristarfzc.com
Team Saeed Alkas,P2 · High,Construction & Engineering,Construction & Contracting,http://www.saeedalkas.com
Techart Global,P2 · High,Construction & Engineering,Construction & Contracting,http://www.techart.com.sg
ThermaBags,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.thermabags.com
Velocita Movers,P2 · High,Logistics & Trade,Logistics & Transport,http://www.velocitame.com
Yanvi Solar,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.yanvisolar.com
Zambeel Logistics,P2 · High,Logistics & Trade,Logistics & Transport,http://www.tryzambeel.com
cintafresh,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.cintafresh.com
ePhenomena,P2 · High,Logistics & Trade,Trading & Distribution,http://www.ephenomena.com
www.mep-global.com,P2 · High,Construction & Engineering,Construction & Contracting,http://www.mep-global.com
24 Seven Steel Company,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.247-steel.com
AAL Group Ltd,P2 · High,Logistics & Trade,Logistics & Transport,http://www.aal-group.com
AFIA Tools Trading LLC,P2 · High,Logistics & Trade,Trading & Distribution,http://www.afiatools.com
AFTECH,P2 · High,Construction & Engineering,Construction & Contracting,http://www.aftechfze.com
AKPhoto24,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.akphoto24.com
ALASKA TRADING LLC (Part of the Lebami Group),P2 · High,Logistics & Trade,Trading & Distribution,http://www.alaskatrd.com
ALFAA CHEM,P2 · High,Logistics & Trade,Trading & Distribution,http://www.alfaachem.com
ARAACO UAE,P2 · High,Construction & Engineering,Construction & Contracting,http://www.araacouae.com
ASHKAL,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.ashkaluae.com
ASIS Boats,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.asisboats.com
Advanced Armour Engineering,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.armoureng.com
African Drilling Fluids,P2 · High,Industrial & Manufacturing,Energy & Utilities,http://www.africandf.com
Air Arabia,P2 · High,Logistics & Trade,Logistics & Transport,http://www.airarabia.com
Al Afrah Plastic Product Trading,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.afrahpack.com
Al Basel Cosmetics,P2 · High,Logistics & Trade,Trading & Distribution,http://www.albaselco.com
Al Bedyah Packing & Packaging Mat Tr,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.bedyahpack.me
Al Bidayer,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.albidayer.com
Al Falah Star Steel Works,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.falahstar.com
Al Fareeq Equip & Spare Parts Trading,P2 · High,Logistics & Trade,Trading & Distribution,http://www.fareequae.com
Al Mas Cargo L.L.C,P2 · High,Logistics & Trade,Logistics & Transport,http://www.almasgroup.co
Al Qamar Alsatee (AQS),P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.aqsmarble.com
Al Qasimi Group LLC,P2 · High,Construction & Engineering,Construction & Contracting,http://www.alqassemi.com
"Al Rafahia Marble, Granite & Quartz",P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alrafahia.com
Al Safeenah Engineering,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alsafeenah.ae
Al Saif Al Malaki,P2 · High,Industrial & Manufacturing,Manufacturing & Industrial,http://www.alsaifhep.com
